context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Kendall was hardworking and wanted to keep everyone on her team on track.,What will Kendall want to do next?,assign duties,Kenall will relax for a day,take a break,oWant
Tracy crossed the rubicon because they wanted to cross it and be the best.,What does Tracy need to do before this?,need to be the best,keep working even if they fail,need to be the worst,xNeed
Alex made Casey escape jail by blowing a hole in the wall so they could go find the buried money.,What will happen to Alex?,become famous,be chased by police,become rich,oEffect
Sydney was trying to get the kitchen mopped but Austin interfered by walking in the kitchen repeatedly.,How would you describe Austin?,Flippant,angry that Austin keep walking on the floor,frustrated with Austin,xAttr
Sydney guessed you could say that Sydney loved teaching and teaches chemistry.,What will the students want to do next?,The students will report Sydney to the dean,The students will all drop out of Sydney's class,their favorite teacher,oWant
Jan had learned about misogyny all her life and gave birth to a daughter that evening.,What will Jan want to do next?,protect her from males,allow males in women's spaces,allow men to rewrite laws erasing sex based protections for women,oWant
cameron was bored out of his mind so he left the show early.,How would you describe Cameron?,upset for wasting their money on the ticket,fun,as boring,xAttr
"As the room filled and got louder, Taylor got louder.",Why did Taylor do this?,were obnoxious,speak over the noise,were mad,xIntent
bailey decided to play a card game with her friends. Bailey held the cards.,How would Others feel as a result?,angry,uptight,cool,xReact
"After having it spoken discreetly to him, Taylor repeated the lord's request loudly for all to hear.",How would you describe Taylor?,considerate of the feelings of others,rude in social situations,evil,xAttr
Carson gave their friend some milk and cookies while they were playing games.,What will happen to Others?,talk about them,have fun,ask about fun,oEffect
"Carson learned a lot in school, as well as taking self-paced courses online, reading books, and practicing real-world skills.",How would you describe Carson?,Driven by curiosity and pragmatism,Interested in learning only the basics,hardworking,xAttr
Quinn colored her hair a light ghosted grey color.,How would Quinn feel afterwards?,artistic,unwanted,Ugly,xReact
"Wanting to get away from friends and family, Sasha spent a weekend in the mountains.",How would Others feel as a result?,refreshed,hurt,relaxed,xReact
Cameron took Kai's complaint seriously and issues the complaint to the police for a serious investigation.,How would you describe Cameron?,feeling worried,feeling bored,feeling passive,xAttr
Riley made friends easily and had a big social circle very quickly.,How would you describe Riley?,frustrated they couldn't spend as much time with Riley,happy for Riley for having a lot of friends,extraverted,xAttr
Tracy went camping during the weekend for the first time in their life.,What does Tracy need to do before this?,find their old camping supplies,go buy camping supplies,wash their old sleeping bag,xNeed
"When Remy's tire went flat on his way to work, he said a bad word.",Why did Remy do this?,remy who has tired his work,avoid being thought of as a wimp,avoid being late for an appointment,xIntent
Taylor gave his friend a high five after he got a strike in bowling.,What will happen to Others?,buy a pair of shoes,bowl next,roll some dice,oEffect
Aubrey agree to help Sasha since she needed to move into her new apartment immediately but didn't have any help.,What will Sasha want to do next?,lecture Aubrey on why she shouldn't help friends move,show appreciation to Aubrey by buying her a bottle of wine,be angry with Aubrey for agreeing to help with the move,oWant
Carson shook Jan's head again to wake her up after the accident.,What will Jan want to do next?,Check the girl for a pulse,Call an ambulance,Continue waking up,oWant
Robin's boyfriend got on one knee to propose. Robin held their breath.,How would Robin feel afterwards?,anxious,excited that they are getting engaged,disappointed in the boyfriend's actions,xReact
Aubrey fulfilled Alex's requests.,What will Aubrey want to do next?,work harder on the requests,work on the next one,requesting,oWant
Cameron moved Kendall's body because they didn't want anyone to see.,What will Cameron want to do next?,escape,admit to their crime,they were being discreet,oWant
Austin blew smoke from his lips as he sat on the bench and puffed on his pipe.,What does Austin need to do before this?,have a cigarette,have a fireplace,have a match,xNeed
Addison took long walks on the beach to lose weight.,How would Addison feel afterwards?,Well exercised,dedicated to the goal,Lazy,xReact
Jesse was wondering if they got into a school. They checked the mail every day.,What does Jesse need to do before this?,checked the mail again tomorrow,call the school,know about a school,xNeed
Cameron got to the restaurant and decided to order some pizza there.,How would Others feel as a result?,ready to order,like dancing,in the mood for italian food,xReact
Austin wrapped their jacket around their waist to free their hands to help move boxes.,What will Austin want to do next?,did not want to be restrained by a jacket,wanted to move about freely,pick up boxes for others,oWant
Jan went to a party and started talking to one of her friends that she cared about a lot.,How would Others feel as a result?,quite happy,angry and sad,bored and angry,xReact
Austin loved Sydney's neighbor that they asked their parents to move near them.,What will Sydney want to do next?,look up housing prices in the area,be friends with Sydney,ask their parents to move near Sydney's neighbor,oWant
Robin took a long time to get in the car with her broken leg.,How would Robin feel afterwards?,in recovery,relieved,peaceful,xReact
Jesse took years to complete college but finally got his degree.,What will Jesse want to do next?,enroll in college,get a job next,pay for college,oWant
Cameron drove nearly three hours so that he could pick Robin up from the nearest airport.,What will Cameron want to do next?,Turn around and make the drive back again,Leave and drive back the next day instead,Stop in the airport to use the restroom,oWant
Quin did not consider that his words may have the feelings of others.,What will Others want to do next?,be best friends with Quin,Other's will not want to confide in Quin,say hurtful things to other people,oWant
Ash always performed better at his workplace after a warm cup of coffee.,What will Ash want to do next?,start a new task,take some nyquil,go home,oWant
Austin went fishing to the lake with Carson and some friends that night.,What will happen to Carson?,get drunk,sleep,hunt ducks,oEffect
